rownumber,customerid,surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited
1,15634602,Hargrave,619,France,Female,42,2,0,1,t,t,101348.88,t
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,f,t,112542.58,f
3,15619304,Onio,502,France,Female,42,8,159660.8,3,t,f,113931.57,t
4,15701354,Boni,699,France,Female,39,1,0,2,f,f,93826.63,f
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,t,t,79084.1,f
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,t,f,149756.71,t
7,15592531,Bartlett,822,France,Male,50,7,0,2,t,t,10062.8,f
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,t,f,119346.88,t
9,15792365,He,501,France,Male,44,4,142051.07,2,f,t,74940.5,f
10,15592389,H?,684,France,Male,27,2,134603.88,1,t,t,71725.73,f
11,15767821,Bearce,528,France,Male,31,6,102016.72,2,f,f,80181.12,f
12,15737173,Andrews,497,Spain,Male,24,3,0,2,t,f,76390.01,f
13,15632264,Kay,476,France,Female,34,10,0,2,t,f,26260.98,f
14,15691483,Chin,549,France,Female,25,5,0,2,f,f,190857.79,f
15,15600882,Scott,635,Spain,Female,35,7,0,2,t,t,65951.65,f
16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,f,t,64327.26,f
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,t,f,5097.67,t
18,15788218,Henderson,549,Spain,Female,24,9,0,2,t,t,14406.41,f
19,15661507,Muldrow,587,Spain,Male,45,6,0,1,f,f,158684.81,f
20,15568982,Hao,726,France,Female,24,6,0,2,t,t,54724.03,f
21,15577657,McDonald,732,France,Male,41,8,0,2,t,t,170886.17,f
22,15597945,Dellucci,636,Spain,Female,32,8,0,2,t,f,138555.46,f
23,15699309,Gerasimov,510,Spain,Female,38,4,0,1,t,f,118913.53,t
24,15725737,Mosman,669,France,Male,46,3,0,2,f,t,8487.75,f
25,15625047,Yen,846,France,Female,38,5,0,1,t,t,187616.16,f
26,15738191,Maclean,577,France,Male,25,3,0,2,f,t,124508.29,f
27,15736816,Young,756,Germany,Male,36,2,136815.64,1,t,t,170041.95,f
28,15700772,Nebechi,571,France,Male,44,9,0,2,f,f,38433.35,f
29,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,t,t,100187.43,f
30,15656300,Lucciano,411,France,Male,29,0,59697.17,2,t,t,53483.21,f
31,15589475,Azikiwe,591,Spain,Female,39,3,0,3,t,f,140469.38,t
32,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,f,t,156731.91,f
33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,f,f,81898.81,f
34,15659428,Maggard,520,Spain,Female,42,6,0,2,t,t,34410.55,f
35,15732963,Clements,722,Spain,Female,29,9,0,2,t,t,142033.07,f
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,t,f,27822.99,t
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,f,t,114066.77,f
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,f,t,98453.45,f
39,15717426,Armstrong,850,France,Male,36,7,0,1,t,t,40812.9,f
40,15585768,Cameron,582,Germany,Male,-41,6,70349.48,2,f,t,178074.04,f
41,15619360,Hsiao,472,Spain,Male,40,4,0,1,t,f,70154.22,f
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,f,f,181297.65,t
43,15687946,Osborne,556,France,Female,61,2,117419.35,1,t,t,94153.83,f
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,f,f,194365.76,t
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,t,t,158338.39,f
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,t,t,126517.46,f
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,t,t,119708.21,t
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,t,t,117622.8,t
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,f,t,90878.13,f
